Timestamp,Date,Stablecoins Mcap,Bridged TVL
1750723200000,2025-06-24,318588053,858294075
1750809600000,2025-06-25,335699924,887502639
1750896000000,2025-06-26,338255273,807296668
1750982400000,2025-06-27,339328009,839942102
1751068800000,2025-06-28,439892935,843852406
1751155200000,2025-06-29,442864125,852304938
1751241600000,2025-06-30,449525049,880265716
1751328000000,2025-07-01,432962017,864701322
1751414400000,2025-07-02,432172122,849574062
1751500800000,2025-07-03,448361006,869475835
1751587200000,2025-07-04,454748241,913049236
1751673600000,2025-07-05,447895524,910666942
1751760000000,2025-07-06,445284934,903364974
1751846400000,2025-07-07,455143326,941598814
1751932800000,2025-07-08,456125952,935723215
1752019200000,2025-07-09,439994141,925969897
1752105600000,2025-07-10,455221038,896446231
1752192000000,2025-07-11,462478913,959765285
1752278400000,2025-07-12,428633221,930915098
1752364800000,2025-07-13,425970281,934926853
1752451200000,2025-07-14,420210997,968406081
1752537600000,2025-07-15,425826371,982800137
1752624000000,2025-07-16,417586106,1002625504
1752710400000,2025-07-17,435479905,1044490894
1752796800000,2025-07-18,454157792,1059469065
1752883200000,2025-07-19,437166649,1050267766
1752969600000,2025-07-20,433119886,1059925742
1753056000000,2025-07-21,442958234,934578971
1753142400000,2025-07-22,451257147,950326793
1753228800000,2025-07-23,442070452,926816853
1753315200000,2025-07-24,418824310,829116509
1753401600000,2025-07-25,404720599,333549114
1753488000000,2025-07-26,402554567,333869253
1753574400000,2025-07-27,408138453,329168168
1753660800000,2025-07-28,410101962,328781744
1753747200000,2025-07-29,382287425,322007534
1753833600000,2025-07-30,387332744,331551805
1753920000000,2025-07-31,393386421,329219300
1754006400000,2025-08-01,365120838,322159878
1754092800000,2025-08-02,347820078,306559775
1754179200000,2025-08-03,344661818,306559775
1754265600000,2025-08-04,335864540,282244927
1754352000000,2025-08-05,344254838,286960759
1754438400000,2025-08-06,326762039,280946266
1754524800000,2025-08-07,335788690,273103830
1754611200000,2025-08-08,347718793,302364059
1754697600000,2025-08-09,362858439,302695513
1754784000000,2025-08-10,371129090,314756201
1754870400000,2025-08-11,372304749,318051453
1754956800000,2025-08-12,386932417,332709519
1755043200000,2025-08-13,386493415,339832067
1755129600000,2025-08-14,387012584,332971126
1755216000000,2025-08-15,354990014,301344697
1755302400000,2025-08-16,339102894,287235802
1755388800000,2025-08-17,339118080,286928534
1755475200000,2025-08-18,309282498,288290461
1755561600000,2025-08-19,322297611,269149628
1755648000000,2025-08-20,313298449,270356224
1755734400000,2025-08-21,313298888,267400487
1755820800000,2025-08-22,304987542,261561979
1755907200000,2025-08-23,304957746,266438244
1755993600000,2025-08-24,328573199,283408191
1756080000000,2025-08-25,300599885,264086843
1756166400000,2025-08-26,289103444,229282264
1756252800000,2025-08-27,309963607,241689788
1756339200000,2025-08-28,281550426,234624346
1756425600000,2025-08-29,284466295,242277297
1756512000000,2025-08-30,267876720,224724043
1756598400000,2025-08-31,264775478,222286296
1756684800000,2025-09-01,263145733,218845638
1756771200000,2025-09-02,275028035,227699647
1756857600000,2025-09-03,269349579,204364230
1756944000000,2025-09-04,272336474,200741542
1757030400000,2025-09-05,252786825,194894222
1757116800000,2025-09-06,243637646,178316446
1757203200000,2025-09-07,239821999,173595600
1757289600000,2025-09-08,236459053,173496470
1757376000000,2025-09-09,256029378,184449006
1757462400000,2025-09-10,255533997,183558933
1757548800000,2025-09-11,260763869,182791387
1757635200000,2025-09-12,268293130,116912960
1757721600000,2025-09-13,283248298,181425407
1757808000000,2025-09-14,277215531,184679591
1757894400000,2025-09-15,272469447.23,
